Data,Páginas afetadas
2026-04-16,0
2026-04-17,25
2026-04-18,25
2026-04-19,25
2026-04-20,44
2026-04-21,44
2026-04-22,44
2026-04-23,44
2026-04-24,45
2026-04-25,45
2026-04-26,45
2026-04-27,47
2026-04-28,47
2026-04-29,47
2026-04-30,47
2026-05-01,48
2026-05-02,48
2026-05-03,48
