Data,Páginas afetadas
2026-04-16,0
2026-04-17,253
2026-04-18,253
2026-04-19,253
2026-04-20,71
2026-04-21,71
2026-04-22,71
2026-04-23,71
2026-04-24,65
2026-04-25,65
2026-04-26,65
2026-04-27,65
2026-04-28,65
2026-04-29,65
2026-04-30,65
2026-05-01,61
2026-05-02,61
2026-05-03,61
