Data,Páginas afetadas
2026-04-16,2
2026-04-17,19
2026-04-18,19
2026-04-19,19
2026-04-20,33
2026-04-21,33
2026-04-22,33
2026-04-23,33
2026-04-24,33
2026-04-25,33
2026-04-26,33
2026-04-27,34
2026-04-28,34
2026-04-29,34
2026-04-30,34
2026-05-01,34
2026-05-02,34
2026-05-03,34
