Data,Páginas afetadas
2026-04-16,0
2026-04-17,1
2026-04-18,1
2026-04-19,1
2026-04-20,9
2026-04-21,9
2026-04-22,9
2026-04-23,9
2026-04-24,8
2026-04-25,8
2026-04-26,8
2026-04-27,13
2026-04-28,13
2026-04-29,13
2026-04-30,13
2026-05-01,16
2026-05-02,16
2026-05-03,16
