Data,Páginas afetadas
2026-04-16,80
2026-04-17,25
2026-04-18,25
2026-04-19,25
2026-04-20,18
2026-04-21,18
2026-04-22,18
2026-04-23,18
2026-04-24,68
2026-04-25,68
2026-04-26,68
2026-04-27,302
2026-04-28,302
2026-04-29,302
2026-04-30,302
2026-05-01,371
2026-05-02,371
2026-05-03,371
